Sample equal_delay orig_delay nn_delay gain
244 1.959855e+01 2.025124e+01 1.600435e+01 2.097103e-01
245 1.949895e+01 2.021675e+01 1.569566e+01 2.236311e-01
246 1.946513e+01 2.016019e+01 1.595003e+01 2.088352e-01
247 1.951159e+01 2.037213e+01 1.600305e+01 2.144637e-01
248 1.952325e+01 2.046747e+01 1.598171e+01 2.191654e-01
249 1.959802e+01 2.094919e+01 1.639044e+01 2.176099e-01
250 1.950355e+01 2.066905e+01 1.596962e+01 2.273658e-01
251 1.951138e+01 2.066355e+01 1.604008e+01 2.237501e-01
252 1.955878e+01 2.058685e+01 1.609668e+01 2.181087e-01
253 1.948060e+01 2.051791e+01 1.602624e+01 2.189146e-01
254 1.935272e+01 2.026334e+01 1.570109e+01 2.251479e-01
255 1.944984e+01 2.044992e+01 1.575852e+01 2.294094e-01
256 1.933014e+01 2.015027e+01 1.551837e+01 2.298679e-01
257 1.950536e+01 2.034559e+01 1.601924e+01 2.126431e-01
258 1.963029e+01 2.059190e+01 1.622381e+01 2.121265e-01
259 1.958825e+01 2.046444e+01 1.615010e+01 2.108211e-01
260 1.946584e+01 2.050599e+01 1.597069e+01 2.211696e-01
261 1.944666e+01 2.001768e+01 1.598717e+01 2.013475e-01
262 1.937993e+01 2.055817e+01 1.562082e+01 2.401646e-01
263 1.955129e+01 2.069437e+01 1.601306e+01 2.262117e-01
264 1.953227e+01 2.049055e+01 1.571496e+01 2.330633e-01
265 1.946898e+01 2.053614e+01 1.572581e+01 2.342373e-01
266 1.957372e+01 2.046432e+01 1.620266e+01 2.082482e-01
267 1.976023e+01 2.066360e+01 1.675722e+01 1.890467e-01
268 1.949868e+01 1.988366e+01 1.613893e+01 1.883321e-01
269 1.938582e+01 1.997851e+01 1.596895e+01 2.006939e-01
270 1.954532e+01 2.011211e+01 1.618629e+01 1.951968e-01
271 1.942134e+01 1.979829e+01 1.593204e+01 1.952820e-01
272 1.949199e+01 1.985779e+01 1.617910e+01 1.852519e-01
273 1.952625e+01 1.993756e+01 1.617603e+01 1.886658e-01
274 1.956951e+01 1.994664e+01 1.633073e+01 1.812790e-01
275 1.973248e+01 2.036301e+01 1.648954e+01 1.902209e-01
276 1.961244e+01 1.997366e+01 1.625555e+01 1.861508e-01
277 1.971438e+01 2.010492e+01 1.637795e+01 1.853757e-01
278 1.949649e+01 2.007608e+01 1.582773e+01 2.116127e-01
279 1.957716e+01 2.007432e+01 1.590084e+01 2.079015e-01
280 1.941875e+01 2.000444e+01 1.572571e+01 2.138889e-01
281 1.945237e+01 1.967819e+01 1.582327e+01 1.958982e-01
282 1.946018e+01 1.967018e+01 1.594893e+01 1.891826e-01
283 1.941991e+01 1.966440e+01 1.592197e+01 1.903152e-01
284 1.937888e+01 1.995862e+01 1.571619e+01 2.125611e-01
285 1.945771e+01 2.047878e+01 1.603035e+01 2.172216e-01
286 1.917610e+01 1.997405e+01 1.552998e+01 2.224925e-01
287 1.935582e+01 2.004388e+01 1.583915e+01 2.097762e-01
288 1.943258e+01 2.028865e+01 1.579542e+01 2.214651e-01
289 1.963332e+01 2.034577e+01 1.627501e+01 2.000788e-01
290 1.949688e+01 2.034090e+01 1.621841e+01 2.026698e-01
291 1.951765e+01 2.001265e+01 1.638953e+01 1.810415e-01
292 1.943287e+01 2.001259e+01 1.616767e+01 1.921249e-01
293 1.944109e+01 1.991945e+01 1.601783e+01 1.958698e-01
294 1.949500e+01 2.011400e+01 1.617278e+01 1.959440e-01
